Se encontraron 4467 gramas de tamaño 1
[2331]	COMPANY
[129]	FRANC
[129]	DRUG
[128]	MORTGAGE
[128]	FORMER
[128]	EXCLUDES
[128]	MONETARY
[128]	CONSUMER
[127]	GOOD
[127]	JULY
[127]	HOLDERS
[127]	HOLDINGS
[127]	REDUCTION
[127]	QUOTAS
[127]	NEEDED
[127]	CARS
[126]	MERRILL
[126]	L
[126]	HOLD
[126]	AREA
[126]	SERIES
[126]	COMBINED
[126]	COUNCIL
[125]	SCHEDULED
[125]	OCTOBER
[125]	CHANGES
[125]	PROPOSALS
[125]	GERMANY
[125]	ENGLAND
[124]	CONTINUED
[124]	CHARGE
[124]	GO
[124]	SEEKING
[124]	STRIKE
[124]	ALLOW
[124]	MAIN
[123]	COME
[123]	FEW
[123]	SUBJECT
[122]	USDA
[122]	HUGHES
[122]	LIFE
[122]	TOMORROW
[122]	CITY
[122]	FREE
[122]	SAYING
[122]	AIRLINES
[122]	MOTORS
[121]	PRESSURE
[121]	JUST
[121]	TARGET
[121]	EFFECT
[120]	HOW
[120]	SEEN
[120]	SENATE
[120]	F
[120]	HOLDING
[119]	EXPECT
[119]	RESTRUCTURING
[119]	FORCE
[119]	INCREASES
[119]	FAR
[119]	AID
[119]	AUSTRALIAN
[119]	ISSUING
[118]	CLASS
[118]	SECURITY
[118]	SAUDI
[118]	GM
[117]	BRAZILIAN
[117]	RETURN
[117]	THINK
[117]	PRINCIPAL
[116]	NEAR
[116]	DESPITE
[116]	SEE
[116]	PORT
[116]	VOLUME
[116]	REVENUE
[115]	D
[115]	REDUCED
[115]	REPORTS
[115]	ARMS
[115]	WASHINGTON
[115]	PAR
[114]	LEGISLATION
[114]	ADDING
[114]	MANUFACTURING
[113]	RIGHT
[113]	FIXED
[113]	GULF
[113]	ADDITION
[113]	LENDING
[112]	SEC
[112]	TRANSACTION
[111]	FORM
[111]	LYNCH
[111]	LATEST
[111]	BETTER
[111]	SMALL
[110]	REFORM
[109]	COMMERCE
[109]	PACKAGE
[109]	TELEPHONE
[109]	EXISTING
[108]	AREAS
[108]	YET
[108]	NIL
[108]	DIRECTORS
[108]	STERLING
[107]	LAW
[107]	AGRICULTURAL
[107]	AG
[106]	WARRANTS
[106]	STAFF
[106]	YOU
[106]	SITUATION
[106]	NAME
[106]	CLOSED
[106]	GAVE
[106]	PRE
[105]	GOING
[105]	CREDITORS
[105]	CUSTOMERS
[105]	TONS
[105]	FACTOR
[105]	FILING
[105]	LETTER
[105]	MEASURES
[104]	DEPOSITS
[104]	ADJUSTED
[104]	TAKEN
[104]	BARREL
[104]	MILES
[104]	INVESTOR
[103]	RE
[103]	AUSTRALIA
[103]	PURCHASES
[103]	STUDY
[103]	OFFERS
[103]	FORD
[103]	UNDERWRITING
[102]	ACT
[102]	IMMEDIATELY
[102]	TOO
[102]	SELLS
[102]	DECIDED
[102]	SOUTHERN
[102]	LISTED
[102]	EUROBOND
[102]	PARIS
[101]	CHICAGO
[101]	FUNARO
[101]	LITTLE
[100]	OPERATION
[100]	CASE
[100]	DAILY
[100]	BOSTON
[100]	SOON
[100]	RISK
[99]	REVIEW
[99]	NAMED
[99]	IMPACT
[99]	FOOD
[99]	PROBABLY
[99]	DISCOUNT
[98]	SHAREHOLDER
[98]	PRESS
[98]	SEEK
[98]	GETS
[98]	HEAD
[98]	BRITAIN
[98]	NATURAL
[98]	BEGIN
[98]	MORNING
[98]	DISCONTINUED
[98]	PIEDMONT
[97]	CERTIFICATES
[97]	ARGENTINA
[97]	PARTNERSHIP
[97]	STEEL
[97]	LIKE
[97]	CONSIDER
[97]	CAPACITY
[97]	ESTIMATE
[96]	PROBLEM
[96]	E
[96]	RULES
[96]	RESPECTIVELY
[96]	HIT
[96]	AMC
[95]	CENTS
[95]	PLACE
[95]	WHERE
[95]	MARK
[95]	BECOME
[94]	REMAINING
[94]	ICO
[94]	QUOTED
[94]	BEGAN
[93]	LIMITED
[93]	PAYOUT
[93]	REPURCHASE
[92]	INCLUDED
[92]	POTENTIAL
[92]	VENEZUELA
[92]	JOHN
[92]	RATING
[92]	PIPELINE
[92]	NEEDS
[91]	AGAIN
[91]	TONNE
[91]	COMMODITY
[91]	INSTITUTE
[91]	CAUSED
[91]	PROPERTIES
[90]	ESTIMATES
[90]	HEALTH
[90]	PARTY
[90]	WON
[90]	RESPONSE
[90]	TRANSACTIONS
[90]	INVESTMENTS
[90]	CHEMICAL
[90]	TOKYO
[89]	COMMUNICATIONS
[89]	NIGHT
[89]	POLITICAL
[89]	UNCHANGED
[89]	VOTE
[89]	DEPOSIT
[89]	POST
[89]	EXPLORATION
[88]	SIGNIFICANT
[88]	ROBERT
[88]	ABLE
[88]	REJECTED
[88]	CONSIDERING
[88]	WANT
[88]	MID
[88]	RULING
[88]	KEY
[88]	RISING
[88]	KOREA
[88]	CHARGES
[88]	RETAIL
[87]	ACTIVITIES
[87]	NETWORK
[87]	INTRODUCED
[87]	PRODUCING
[87]	MINUS
[86]	TIMES
[86]	RELATED
[86]	SLIGHTLY
[86]	INSTITUTIONS
[86]	REQUEST
[86]	SHOWED
[86]	INVOLVED
[86]	PLANTS
[86]	HEAVY
[86]	MOTOR
[86]	NATION
[86]	DON
[86]	COMPETITIVE
[86]	SETTLEMENT
[85]	SHEARSON
[85]	ESTATE
[85]	RAISES
[85]	PRODUCER
[85]	SOFTWARE
[85]	TURNOVER
[85]	INDONESIA
[84]	CALL
[84]	INTERESTS
[84]	ENDING
[84]	TOOK
[84]	CONSTRUCTION
[83]	DEC
[83]	BORROWING
[83]	TRADED
[83]	IMPROVED
[83]	SIMILAR
[83]	SOYBEAN
[83]	PROJECT
[83]	BUSINESSES
[83]	OPPOSITION
[83]	PAYING
[82]	PERFORMANCE
[82]	FLOW
[82]	BEGINNING
[82]	LOAD
[82]	IRAQ
[82]	BROKERAGE
[82]	SHARPLY
[82]	DOME
[81]	ALMOST
[81]	BROTHERS
[81]	DIFFICULT
[81]	ACCOUNTS
[81]	VOLCKER
[81]	LIQUIDITY
[81]	INTERVENTION
[81]	AFRICA
[81]	EMPLOYEES
[80]	OWNS
[80]	DECLARED
[80]	PROCESS
[80]	INCREASING
[80]	FIGURE
[80]	ACTIVITY
[80]	TELEVISION
[80]	GUARANTEED
[80]	COMPETITION
[80]	SINGAPORE
[79]	APPLICATION
[79]	ANNOUNCEMENT
[79]	BOOST
[79]	CONTINUING
[79]	NORTHERN
[79]	CALLABLE
[79]	DENOMINATIONS
[79]	EFFORTS
[78]	ALONG
[78]	CREDITS
[78]	TEST
[78]	R
[78]	CRISIS
[78]	AHEAD
[78]	BUILD
[78]	REQUIRED
[78]	DISCLOSED
[78]	OVERSEAS
[77]	MINING
[77]	DIRECT
[77]	TOP
[77]	MAJORITY
[77]	RATHER
[77]	PRODUCE
[77]	CONTINENTAL
[77]	GROSS
[77]	DISCUSS
[77]	BUNDESBANK
[76]	BELIEVE
[76]	PARTNERS
[76]	CONTROLS
[76]	DESIGNED
[76]	SOURCE
[76]	MORGAN
[76]	AGREEMENTS
[76]	STATISTICS
[76]	MAINLY
[76]	PROPERTY
[76]	PROVIDED
[76]	STORE
[75]	LEADING
[75]	DELIVERY
[75]	MAKES
[75]	EXPRESS
[75]	CAME
[75]	FIND
[75]	CALLS
[75]	GRANTED
[75]	AIRCRAFT
[75]	NUCLEAR
[75]	DRILLING
[75]	EAST
[74]	SEASON
[74]	OUTLOOK
[74]	US
[74]	REMAINS
[74]	RUN
[74]	TAXES
[74]	UNEMPLOYMENT
[74]	CAESARS
[73]	FALLING
[73]	TAKING
[73]	CREDITOR
[73]	OVERALL
[73]	BEST
[73]	CENT
[73]	RAISING
[73]	STREET
[73]	PERSONAL
[73]	BUILDING
[73]	DROPPED
[73]	REFLECT
[73]	TOTALLED
[73]	INSTEAD
[73]	CALENDAR
[73]	MEDIUM
[73]	HOUSES
[72]	LIGHT
[72]	MEXICO
[72]	REGULATORY
[72]	LAND
[72]	BUYS
[72]	MONDAY
[72]	ITALY
[72]	MINES
[72]	VIACOM
[71]	COVER
[71]	UNDERWRITERS
[71]	GROWING
[71]	MONTHLY
[71]	GREATER
[71]	REASON
[71]	REDEEM
[71]	IRANIAN
[71]	WAGE
[71]	FOUND
[71]	TELECOMMUNICATIONS
[71]	COMPARABLE
[70]	SHIPMENTS
[70]	FACILITIES
[70]	PROGRAMS
[70]	IMPROVE
[70]	CORPORATION
[70]	CONSUMERS
[70]	DEFENSE
[70]	PERCENTAGE
[70]	CONSOLIDATED
[70]	PROJECTED
[70]	MEDICAL
[70]	SUIT
[70]	HOURS
[70]	CONCERN
[70]	SHARP
[70]	LUXEMBOURG
[70]	CROWNS
[70]	TAFT
[69]	ACQUISITIONS
[69]	PERIODS
[69]	FEES
[69]	ASSET
[69]	EXTENDED
[69]	PRODUCED
[69]	RATED
[69]	CALIFORNIA
[69]	MANAGERS
[69]	SHIPPING
[69]	IBM
[69]	SEAMEN
[68]	CONVERSION
[68]	REPRESENTATIVES
[68]	LINES
[68]	REGULAR
[68]	PROVISION
[68]	NEARLY
[68]	EXPANSION
[68]	PRICING
[68]	SALOMON
[68]	HARD
[68]	STOP
[68]	SEAT
[68]	MINIMUM
[68]	MINISTERS
[68]	DISCUSSIONS
[68]	ADVANCED
[67]	BUYERS
[67]	SUSPENDED
[67]	REGISTRATION
[67]	AFFECTED
[67]	POLICIES
[67]	LEFT
[67]	EXPAND
[67]	SESSION
[67]	TEMPORARY
[67]	SUBSTANTIAL
[67]	CLOSING
[67]	FAILED
[67]	BRING
[67]	AIDE
[67]	AUGUST
[67]	CURRENCIES
[67]	LIMIT
[66]	EFFORT
[66]	MAIZE
[66]	ENOUGH
[66]	DEVELOP
[66]	PROGRESS
[66]	WALL
[66]	CUSTOMER
[66]	WANTS
[66]	VERSUS
[66]	AUCTION
[66]	UNDISCLOSED
[66]	SOYBEANS
[66]	TUESDAY
[66]	KONG
[66]	OPERATE
[66]	AIMED
[66]	ATTEMPT
[66]	VALUED
[66]	AFRICAN
[66]	GUILDERS
[66]	COMPUTERS
[66]	NECESSARY
[66]	VIDEO
[65]	BAGS
[65]	COPPER
[65]	TRY
[65]	RISES
[65]	SHE
[65]	DAVID
[65]	INTERVIEW
[65]	EITHER
[65]	PURCHASED
[65]	WINTER
[65]	COOPERATION
[65]	FOLLOWED
[65]	JOHNSON
[65]	LABOUR
[65]	RUBBER
[65]	PROVISIONS
[64]	IMMEDIATE
[64]	PREPARED
[64]	BROKERS
[64]	TRANSFER
[64]	TRANSPORT
[64]	LEADER
[64]	INDICATED
[64]	FUEL
[64]	BELIEVES
[64]	FEET
[64]	GIVING
[64]	CONGRESSIONAL
[64]	AUTHORITIES
[64]	ALTERNATIVE
[64]	AGENCIES
[64]	ADD
[64]	ASSISTANCE
[64]	ROYAL
[63]	PROSPECTS
[63]	VIEW
[63]	COMPLETE
[63]	RESCHEDULING
[63]	COMMITMENT
[63]	MAINTAIN
[63]	POSSIBILITY
[63]	COLOMBIA
[63]	SUBCOMMITTEE
[63]	FEE
[63]	CT
[63]	BEEF
[62]	MEANS
[62]	ACCEPTED
[62]	WILLIAM
[62]	MET
[62]	LAWS
[62]	REQUIREMENTS
[62]	ORGANIZATION
[62]	JAMES
[62]	WAYS
[62]	SINGLE
[62]	EXPOSURE
[62]	DREXEL
[62]	CLEAR
[62]	IMF
[62]	GOVERNMENTS
[62]	CONCESSION
[61]	OFFSET
[61]	ROLE
[61]	DELEGATES
[61]	NEWSPAPER
[61]	SHORTAGE
[61]	REDEMPTION
[61]	ELECTRONIC
[61]	REACH
[61]	ARABIA
[61]	MOBIL
[60]	SHIPMENT
[60]	WORLDWIDE
[60]	DIVIDENDS
[60]	PARTICULARLY
[60]	AUTHORITY
[60]	ECONOMIST
[60]	BIG
[60]	KEEP
[60]	STEP
[60]	WANTED
[60]	PASSENGER
[60]	PARENT
[60]	AIRBUS
[59]	BELIEVED
[59]	HOLDS
[59]	COVERING
[59]	IMPROVEMENT
[59]	BENEFIT
[59]	USING
[59]	ELECTRONICS
[59]	ACCESS
[59]	DEPUTY
[59]	CHINESE
[59]	WEDNESDAY
[59]	WEATHER
[59]	REMAINED
[59]	CHANGED
[59]	OUTSIDE
[59]	FACE
[59]	MANUFACTURERS
[59]	DEVELOPING
[59]	SOSNOFF
[58]	COMING
[58]	CUMULATIVE
[58]	FACTORS
[58]	LONGER
[58]	LOWERED
[58]	RATINGS
[58]	FORMED
[58]	BONUS
[58]	QUESTION
[58]	CANNOT
[58]	SEEKS
[58]	COTTON
[58]	HONG
[58]	RICHARD
[58]	MAXIMUM
[58]	PARTS
[58]	ITSELF
[58]	PENDING
[58]	CROPS
[58]	PARTLY
[58]	ACCEPT
[58]	SURVEY
[58]	IMPORTANT
[58]	WRIGHT
[58]	FLOOR
[57]	WEEKLY
[57]	EXPORTERS
[57]	QUALITY
[57]	CUTTING
[57]	PRIMARY
[57]	PREDICTED
[57]	OTHERS
[57]	ABILITY
[57]	HUTTON
[57]	CAUSE
[57]	PURPOSES
[57]	RULE
[57]	CHARGED
[57]	BROUGHT
[57]	STARTED
[56]	SMITH
[56]	ENTERED
[56]	FIELD
[56]	ADVISORY
[56]	PRINCIPLE
[56]	HOPE
[56]	HIM
[56]	ZEALAND
[56]	SHIPS
[56]	ENGINEERING
[56]	THURSDAY
[56]	LOOKING
[56]	AGREE
[56]	LYNG
[56]	EVERY
[56]	REQUIREMENT
[56]	LOST
[56]	AIRLINE
[56]	MINE
[56]	GATT
[56]	SPAIN
[56]	YEUTTER
[55]	FILES
[55]	SCANDAL
[55]	BROKER
[55]	BORROWINGS
[55]	FAMILY
[55]	STARTING
[55]	ELECTION
[55]	NYSE
[55]	POSTED
[55]	CLAIMS
[55]	SUPPLIES
[55]	URGED
[55]	LEGAL
[55]	BELL
[55]	CONCERNED
[55]	LOOK
[55]	AB
[55]	PRELIMINARY
[55]	FUNDING
[55]	INTENDS
[55]	REPRESENTS
[54]	OLD
[54]	SPOT
[54]	REQUIRE
[54]	UTILITY
[54]	SEASONALLY
[54]	DOLLARS
[54]	ALLOWED
[54]	PROJECTS
[54]	GROUPS
[54]	LAUNCHED
[54]	UNLIKELY
[54]	BACKED
[54]	ITALIAN
[54]	FORECASTS
[54]	LEADERS
[54]	BIGGEST
[54]	KODAK
[53]	QUICKLY
[53]	EQUAL
[53]	MOVES
[53]	CARRY
[53]	EARNED
[53]	BENEFITS
[53]	VARIOUS
[53]	HOPES
[53]	CONTROLLED
[53]	STABLE
[53]	OPENING
[53]	TOTALED
[53]	UNLESS
[53]	AFFECT
[53]	REGIONAL
[53]	SPECIFIC
[53]	POSITIVE
[53]	TON
[53]	REDUCING
[53]	REST
[53]	STRATEGY
[53]	SPEECH
[53]	COMPLETION
[53]	PUROLATOR
[52]	SOUGHT
[52]	AMOUNTS
[52]	TOGETHER
[52]	FULLY
[52]	AFFILIATE
[52]	JUSTICE
[52]	PROCESSING
[52]	LARGELY
[52]	EQUIVALENT
[52]	CONTINUES
[52]	SEMICONDUCTOR
[51]	REGISTERED
[51]	PUBLISHED
[51]	PAYS
[51]	AM
[51]	SIGNS
[51]	RESIGNED
[51]	RELEASED
[51]	SECONDARY
[51]	MANAGED
[51]	BIDS
[51]	WASTE
[51]	ANTI
[51]	RUNNING
[51]	ORE
[51]	SAN
[51]	DEVELOPED
[51]	WEAK
[51]	LIBOR
[51]	SERIOUS
[51]	LOT
[51]	AUTO
[51]	PARTIES
[51]	SIZE
[51]	SUBSIDIES
[50]	CITED
[50]	MANAGING
[50]	MICHAEL
[50]	REPUBLICAN
[50]	ANNUALLY
[50]	MILITARY
[50]	SPOKESWOMAN
[50]	VEHICLES
[50]	WHOLLY
[50]	INTENT
[50]	PLACED
[50]	ORGANISATION
[50]	MOSCOW
[50]	PRETAX
[50]	SCHEME
[50]	DISEASE
[50]	KNOWN
[50]	RECOVERY
[50]	GREAT
[50]	LENDERS
[50]	CARGO
[50]	LATIN
[49]	AFTERNOON
[49]	AUTHORIZED
[49]	ND
[49]	PROVIDES
[49]	ADJUSTMENT
[49]	CHEMLAWN
[49]	REPORTING
[49]	TECHNICAL
[49]	COAST
[49]	DEALING
[49]	PREMIUM
[49]	SECURED
[49]	MATERIALS
[49]	INDEPENDENT
[49]	DELAYED
[49]	INTERBANK
[49]	CONSUMPTION
[49]	PLANNING
[49]	ACTIVE
[49]	OPENED
[49]	POUND
[49]	SPECULATION
[49]	HOLIDAY
[49]	FLORIDA
[49]	EMPLOYERS
[48]	PORTION
[48]	EASE
[48]	PANEL
[48]	DEMOCRATS
[48]	ITEMS
[48]	EASTERN
[48]	CARE
[48]	OWNERSHIP
[48]	ENCOURAGE
[48]	WARRANT
[48]	TRANSPORTATION
[48]	CONSIDERED
[48]	WHOSE
[48]	ACCOUNTING
[48]	PAUL
[48]	SMALLER
[48]	BBL
[48]	MAKERS
[48]	CEILING
[48]	GENERALLY
[48]	SOUTHWEST
[48]	INVENTORIES
[48]	BOEING
[48]	VIA
[48]	EARTHQUAKE
[48]	SWEDEN
[48]	TRUCK
[47]	NORMAL
[47]	BROWN
[47]	NAMES
[47]	INTERESTED
[47]	AVOID
[47]	RELATIVELY
[47]	DETERMINED
[47]	CENTER
[47]	SUBSIDIARIES
[47]	EMERGENCY
[47]	REPRESENTATIVE
[47]	SOCIAL
[47]	SEPARATE
[47]	RESTRICTIONS
[47]	FAILURE
[47]	DECLINING
[47]	ENGINE
[47]	METAL
[47]	IDEA
[47]	HOUR
[47]	BUYOUT
[46]	SUBSTANTIALLY
[46]	ONCE
[46]	THOUGH
[46]	TOWARDS
[46]	FOLLOW
[46]	NEGOTIATING
[46]	WAR
[46]	ORIGINAL
[46]	TRYING
[46]	DISTRICT
[46]	EXPRESSED
[46]	CBT
[46]	WILLING
[46]	EXCHANGES
[46]	REFINERY
[46]	PREVENT
[46]	CITICORP
[46]	VOTING
[46]	TIN
[46]	APPROXIMATELY
[46]	CABLE
[46]	MART
[45]	COUNTY
[45]	BANKAMERICA
[45]	AWARDED
[45]	REFLECTED
[45]	PARLIAMENT
[45]	ENVIRONMENTAL
[45]	EXCESS
[45]	WATER
[45]	FLOATING
[45]	OPTIMISTIC
[45]	LAMBERT
[45]	OFFERINGS
[45]	AA
[45]	MATURITY
[45]	HEARING
[45]	SAW
[45]	DAMAGE
[45]	SUN
[45]	STRUCTURE
[45]	MEAT
[45]	BELGIAN
[45]	HARVEST
[44]	TALKING
[44]	RELEASE
[44]	HOTELS
[44]	BANKER
[44]	ORIGINALLY
[44]	INDIA
[44]	PHILIPPINES
[44]	THAILAND
[44]	PORK
[44]	TRANCHE
[44]	SACHS
[44]	BURNHAM
[44]	W
[44]	REPRESENTING
[44]	MAKER
[44]	RATIO
[44]	SIDE
[44]	STATUS
[44]	LEASE
[44]	STANLEY
[44]	CATTLE
[44]	CME
[43]	NEGATIVE
[43]	CCC
[43]	COMMODITIES
[43]	LEHMAN
[43]	EXPECTATIONS
[43]	RIVER
[43]	TECHNOLOGIES
